,sum_sq,df,F,PR(>F)
C(imbalance),6.751856496996102,3.0,50.65300986325289,2.3303653526233165e-30
C(min_level),0.007865547334971988,3.0,0.059008014597980975,0.9811984457727024
C(imbalance):C(min_level),0.008187191267341045,9.0,0.020473671707994506,0.9999996062664376
Residual,41.94388810175635,944.0,,
