,sum_sq,df,F,PR(>F)
C(imbalance),2.3927729529307995,3.0,60.24075251920362,1.226131724212981e-35
C(min_level),0.0005922096035975718,3.0,0.014909543392372484,0.9975157032979747
C(imbalance):C(min_level),0.0016250470569540423,9.0,0.013637462965318495,0.9999999351167735
Residual,12.498613607937134,944.0,,
