Source,SS,DF,MS,F,p_unc,np2
imbalance,6.751856496996089,3,2.2506188323320298,50.653009863252784,2.330365352623747e-30,0.13865393275389132
min_level,0.007865547334972953,3,0.002621849111657651,0.05900801459798819,0.9811984457727024,0.00018749031091202834
imbalance * min_level,0.008187191267332139,9,0.0009096879185924599,0.02047367170797223,0.9999996062664376,0.00019515581077090617
Residual,41.94388810175636,944,0.044432084853555466,,,
