Source,SS,DF,MS,F,p_unc,np2
imbalance,2.3927729529308053,3,0.7975909843102684,60.24075251920377,1.2261317242127543e-35,0.1606816761589287
min_level,0.0005922096035983518,3,0.0001974032011994506,0.014909543392392123,0.9975157032979747,4.737977854299157e-05
imbalance * min_level,0.0016250470569527664,9,0.00018056078410586294,0.013637462965307788,0.9999999351167735,0.00013000128251979643
Residual,12.498613607937134,944,0.013240056788068997,,,
