,sum_sq,df,F,PR(>F)
C(imbalance),0.18335453302147872,3.0,8.492145589313264,1.4350807944327835e-05
C(min_level),0.02758176701189831,3.0,1.2774616324763568,0.2808013723681679
C(imbalance):C(min_level),0.04769521975749635,9.0,0.7363416717336759,0.6757483264936943
Residual,6.793990884553082,944.0,,
