,sum_sq,df,F,PR(>F)
C(imbalance),0.18335453302147867,3.0,8.49214558931326,1.4350807944328472e-05
C(min_level),0.027581767011898326,3.0,1.2774616324763575,0.2808013723681679
C(imbalance):C(min_level),0.04769521975749632,9.0,0.7363416717336756,0.6757483264936943
Residual,6.793990884553082,944.0,,
