Source,SS,DF,MS,F,p_unc,np2
imbalance,47.185161885786954,3,15.728387295262317,470.80229864572436,5.802016033803932e-187,0.5993900706929653
min_level,0.00029004119169480315,3,9.668039723160105e-05,0.0028939618789988832,0.9997852415600144,9.196828168629521e-06
imbalance * min_level,0.005161149074922378,9,0.0005734610083247086,0.017165571767443235,0.999999819652448,0.00016362803706320843
Residual,31.536799309258143,944,0.033407626386926,,,
