,sum_sq,df,F,PR(>F)
C(imbalance),47.18516188578711,3.0,470.802298645726,5.802016033798654e-187
C(min_level),0.0002900411916945212,3.0,0.0028939618789960704,0.9997852415600144
C(imbalance):C(min_level),0.0051611490749165715,9.0,0.017165571767423927,0.999999819652448
Residual,31.536799309258143,944.0,,
