DV,Factor,group1,group2,meandiff,p-adj,lower,upper,reject
macro_f1,min_level,100,25,-0.0018,0.9985,-0.0311,0.0275,False
macro_f1,min_level,100,50,-0.0001,1.0,-0.0294,0.0292,False
macro_f1,min_level,100,75,0.0001,1.0,-0.0293,0.0294,False
macro_f1,min_level,25,50,0.0017,0.9988,-0.0276,0.031,False
macro_f1,min_level,25,75,0.0019,0.9984,-0.0274,0.0312,False
macro_f1,min_level,50,75,0.0002,1.0,-0.0292,0.0295,False
macro_f1,min_level within 50/50,100,25,-0.0042,0.9964,-0.0546,0.0462,False
macro_f1,min_level within 50/50,100,50,-0.0013,0.9999,-0.0517,0.0491,False
macro_f1,min_level within 50/50,100,75,0.0001,1.0,-0.0503,0.0505,False
macro_f1,min_level within 50/50,25,50,0.0029,0.9988,-0.0475,0.0533,False
macro_f1,min_level within 50/50,25,75,0.0043,0.9962,-0.0461,0.0547,False
macro_f1,min_level within 50/50,50,75,0.0014,0.9999,-0.049,0.0518,False
macro_f1,min_level within 80/20,100,25,-0.0018,0.9999,-0.0659,0.0623,False
macro_f1,min_level within 80/20,100,50,-0.0005,1.0,-0.0646,0.0636,False
macro_f1,min_level within 80/20,100,75,-0.0036,0.9989,-0.0677,0.0605,False
macro_f1,min_level within 80/20,25,50,0.0013,1.0,-0.0629,0.0654,False
macro_f1,min_level within 80/20,25,75,-0.0018,0.9999,-0.0659,0.0623,False
macro_f1,min_level within 80/20,50,75,-0.0031,0.9993,-0.0672,0.0611,False
macro_f1,min_level within 90/10,100,25,-0.0027,0.9993,-0.0595,0.0541,False
macro_f1,min_level within 90/10,100,50,0.0007,1.0,-0.0561,0.0575,False
macro_f1,min_level within 90/10,100,75,0.0029,0.9992,-0.0539,0.0597,False
macro_f1,min_level within 90/10,25,50,0.0035,0.9986,-0.0533,0.0603,False
macro_f1,min_level within 90/10,25,75,0.0057,0.994,-0.0511,0.0625,False
macro_f1,min_level within 90/10,50,75,0.0022,0.9996,-0.0546,0.059,False
macro_f1,min_level within 95/5,100,25,0.0014,0.9998,-0.0427,0.0455,False
macro_f1,min_level within 95/5,100,50,0.0007,1.0,-0.0434,0.0448,False
macro_f1,min_level within 95/5,100,75,0.0008,1.0,-0.0433,0.0448,False
macro_f1,min_level within 95/5,25,50,-0.0007,1.0,-0.0448,0.0434,False
macro_f1,min_level within 95/5,25,75,-0.0006,1.0,-0.0447,0.0434,False
macro_f1,min_level within 95/5,50,75,0.0001,1.0,-0.044,0.0441,False
balanced_accuracy,imbalance,50/50,80/20,-0.0774,0.0,-0.0999,-0.0548,True
balanced_accuracy,imbalance,50/50,90/10,-0.1197,0.0,-0.1422,-0.0971,True
balanced_accuracy,imbalance,50/50,95/5,-0.1523,0.0,-0.1748,-0.1297,True
balanced_accuracy,imbalance,80/20,90/10,-0.0423,0.0,-0.0648,-0.0197,True
balanced_accuracy,imbalance,80/20,95/5,-0.0749,0.0,-0.0974,-0.0523,True
balanced_accuracy,imbalance,90/10,95/5,-0.0326,0.0012,-0.0552,-0.01,True
balanced_accuracy,min_level,100,25,-0.0021,0.9969,-0.0283,0.0241,False
balanced_accuracy,min_level,100,50,-0.0005,1.0,-0.0267,0.0258,False
balanced_accuracy,min_level,100,75,0.0,1.0,-0.0262,0.0263,False
balanced_accuracy,min_level,25,50,0.0016,0.9985,-0.0246,0.0279,False
balanced_accuracy,min_level,25,75,0.0021,0.9967,-0.0241,0.0284,False
balanced_accuracy,min_level,50,75,0.0005,1.0,-0.0257,0.0267,False
balanced_accuracy,min_level within 50/50,100,25,-0.0042,0.9964,-0.0545,0.0461,False
balanced_accuracy,min_level within 50/50,100,50,-0.0013,0.9999,-0.0516,0.0489,False
balanced_accuracy,min_level within 50/50,100,75,0.0001,1.0,-0.0502,0.0504,False
balanced_accuracy,min_level within 50/50,25,50,0.0029,0.9989,-0.0474,0.0531,False
balanced_accuracy,min_level within 50/50,25,75,0.0043,0.9962,-0.046,0.0545,False
balanced_accuracy,min_level within 50/50,50,75,0.0014,0.9999,-0.0489,0.0517,False
balanced_accuracy,min_level within 80/20,100,25,-0.0035,0.9983,-0.0574,0.0504,False
balanced_accuracy,min_level within 80/20,100,50,-0.0011,1.0,-0.055,0.0529,False
balanced_accuracy,min_level within 80/20,100,75,-0.0029,0.9991,-0.0568,0.0511,False
balanced_accuracy,min_level within 80/20,25,50,0.0025,0.9994,-0.0515,0.0564,False
balanced_accuracy,min_level within 80/20,25,75,0.0007,1.0,-0.0533,0.0546,False
balanced_accuracy,min_level within 80/20,50,75,-0.0018,0.9998,-0.0557,0.0521,False
balanced_accuracy,min_level within 90/10,100,25,-0.0032,0.9977,-0.047,0.0407,False
balanced_accuracy,min_level within 90/10,100,50,-0.0006,1.0,-0.0444,0.0432,False
balanced_accuracy,min_level within 90/10,100,75,0.0021,0.9993,-0.0417,0.0459,False
balanced_accuracy,min_level within 90/10,25,50,0.0026,0.9987,-0.0412,0.0464,False
balanced_accuracy,min_level within 90/10,25,75,0.0052,0.9897,-0.0386,0.0491,False
balanced_accuracy,min_level within 90/10,50,75,0.0027,0.9986,-0.0412,0.0465,False
balanced_accuracy,min_level within 95/5,100,25,0.0025,0.997,-0.0288,0.0337,False
