"Name","State","dataset","classifier","imbalance","min_level","min_type","seed","accuracy","minority_recall","mcc"
"health-xgboost-90/10-vertical25-s33","finished","health","xgboost","90/10","25","vertical","33","0.8957777777777778","0.028888888888888888","0.06328015873854298"
"health-xgboost-90/10-vertical25-s22","finished","health","xgboost","90/10","25","vertical","22","0.8908888888888888","0.03333333333333333","0.04695953870380525"
"health-xgboost-90/10-horizontal25-s55","finished","health","xgboost","90/10","25","horizontal","55","0.88","0.03571428571428571","0.016572570406069347"
"health-xgboost-90/10-horizontal25-s44","finished","health","xgboost","90/10","25","horizontal","44","0.8898756660746003","0.04424778761061947","0.06319504504801132"
"health-xgboost-90/10-horizontal25-s33","finished","health","xgboost","90/10","25","horizontal","33","0.88","0.017857142857142856","-0.013345786549541943"
"health-xgboost-90/10-horizontal25-s22","finished","health","xgboost","90/10","25","horizontal","22","0.8888888888888888","0.05357142857142857","0.07071589050585647"
"health-xgboost-90/10-horizontal25-s11","finished","health","xgboost","90/10","25","horizontal","11","0.8871111111111111","0.044642857142857144","0.05057528877950495"
"health-xgboost-90/10-vertical50-s55","finished","health","xgboost","90/10","50","vertical","55","0.8957777777777778","0.03777777777777778","0.08033283753824222"
"health-xgboost-90/10-vertical50-s44","finished","health","xgboost","90/10","50","vertical","44","0.8953333333333333","0.06222222222222222","0.11595005284924156"
"health-xgboost-90/10-vertical50-s33","finished","health","xgboost","90/10","50","vertical","33","0.894","0.03111111111111111","0.0573034069583544"
"health-xgboost-90/10-vertical50-s22","finished","health","xgboost","90/10","50","vertical","22","0.8904444444444445","0.03777777777777778","0.05311997495063776"
"health-xgboost-90/10-vertical50-s11","finished","health","xgboost","90/10","50","vertical","11","0.8951111111111111","0.04888888888888889","0.09489201175011625"
"health-xgboost-90/10-horizontal50-s55","finished","health","xgboost","90/10","50","horizontal","55","0.888","0.044444444444444446","0.05490329855117533"
"health-xgboost-90/10-horizontal50-s44","finished","health","xgboost","90/10","50","horizontal","44","0.8924444444444445","0.02666666666666667","0.04071619267950542"
"health-xgboost-90/10-horizontal50-s33","finished","health","xgboost","90/10","50","horizontal","33","0.8955555555555555","0.035555555555555556","0.07485459064012298"
"health-xgboost-90/10-horizontal50-s22","finished","health","xgboost","90/10","50","horizontal","22","0.892","0.05333333333333334","0.08537862734256924"
"health-xgboost-90/10-horizontal50-s11","finished","health","xgboost","90/10","50","horizontal","11","0.8884444444444445","0.022222222222222223","0.016529766634975438"
"health-xgboost-90/10-vertical75-s55","finished","health","xgboost","90/10","75","vertical","55","0.8948888888888888","0.035555555555555556","0.07078656153679073"
"health-xgboost-90/10-vertical75-s44","finished","health","xgboost","90/10","75","vertical","44","0.896","0.05333333333333334","0.10721564963974171"
"health-xgboost-90/10-vertical75-s33","finished","health","xgboost","90/10","75","vertical","33","0.894","0.03333333333333333","0.06160076554137981"
"health-xgboost-90/10-vertical75-s22","finished","health","xgboost","90/10","75","vertical","22","0.8924444444444445","0.044444444444444446","0.07338845176628282"
"health-xgboost-90/10-vertical75-s11","finished","health","xgboost","90/10","75","vertical","11","0.8924444444444445","0.035555555555555556","0.057921098081239776"
"health-xgboost-90/10-horizontal75-s55","finished","health","xgboost","90/10","75","horizontal","55","0.8954074074074074","0.04154302670623145","0.08369843000178141"
"health-xgboost-90/10-horizontal75-s44","finished","health","xgboost","90/10","75","horizontal","44","0.896","0.06231454005934718","0.11921253508455672"
"health-xgboost-90/10-horizontal75-s33","finished","health","xgboost","90/10","75","horizontal","33","0.8945497630331753","0.01775147928994083","0.03150888173243235"
"health-xgboost-90/10-horizontal75-s22","finished","health","xgboost","90/10","75","horizontal","22","0.8939259259259259","0.05029585798816568","0.09118430364136636"
"health-xgboost-90/10-horizontal75-s11","finished","health","xgboost","90/10","75","horizontal","11","0.8903703703703704","0.03550295857988166","0.04938692948925671"
"health-xgboost-90/10-vertical100-s55","finished","health","xgboost","90/10","100","vertical","55","0.894","0.035555555555555556","0.06577089120552777"
"health-xgboost-90/10-vertical100-s44","finished","health","xgboost","90/10","100","vertical","44","0.8957777777777778","0.06222222222222222","0.11861656333808396"
"health-xgboost-90/10-vertical100-s33","finished","health","xgboost","90/10","100","vertical","33","0.8922222222222222","0.015555555555555557","0.014988949722867606"
"health-xgboost-90/10-vertical100-s22","finished","health","xgboost","90/10","100","vertical","22","0.8937777777777778","0.044444444444444446","0.0801490435792208"
"health-xgboost-90/10-vertical100-s11","finished","health","xgboost","90/10","100","vertical","11","0.8915555555555555","0.022222222222222223","0.02758193697643916"
"health-xgboost-90/10-horizontal100-s55","finished","health","xgboost","90/10","100","horizontal","55","0.894","0.035555555555555556","0.06577089120552777"
"health-xgboost-90/10-horizontal100-s44","finished","health","xgboost","90/10","100","horizontal","44","0.8957777777777778","0.06222222222222222","0.11861656333808396"
"health-xgboost-90/10-horizontal100-s33","finished","health","xgboost","90/10","100","horizontal","33","0.8922222222222222","0.015555555555555557","0.014988949722867606"
"health-xgboost-90/10-horizontal100-s22","finished","health","xgboost","90/10","100","horizontal","22","0.8937777777777778","0.044444444444444446","0.0801490435792208"
"health-xgboost-90/10-horizontal100-s11","finished","health","xgboost","90/10","100","horizontal","11","0.8915555555555555","0.022222222222222223","0.02758193697643916"
"health-xgboost-80/20-horizontal25-s55","finished","health","xgboost","80/20","25","horizontal","55","0.7804444444444445","0.14222222222222222","0.12377836012871082"
"health-xgboost-80/20-vertical25-s33","finished","health","xgboost","80/20","25","vertical","33","0.7868888888888889","0.12666666666666668","0.12868258068079513"
"health-xgboost-80/20-horizontal25-s33","finished","health","xgboost","80/20","25","horizontal","33","0.7733333333333333","0.17777777777777778","0.13467381103397458"
"health-xgboost-80/20-horizontal25-s44","finished","health","xgboost","80/20","25","horizontal","44","0.7804444444444445","0.14222222222222222","0.12377836012871082"
"health-xgboost-80/20-horizontal25-s22","finished","health","xgboost","80/20","25","horizontal","22","0.7777777777777778","0.13333333333333333","0.10930932902440078"
"health-xgboost-80/20-horizontal25-s11","finished","health","xgboost","80/20","25","horizontal","11","0.7795555555555556","0.17333333333333334","0.14614608731209217"
"health-xgboost-80/20-vertical50-s55","finished","health","xgboost","80/20","50","vertical","55","0.784","0.09777777777777778","0.09348647071939532"
"health-xgboost-80/20-vertical50-s44","finished","health","xgboost","80/20","50","vertical","44","0.7848888888888889","0.12333333333333334","0.11991564048185284"
"health-xgboost-80/20-vertical50-s33","finished","health","xgboost","80/20","50","vertical","33","0.7904444444444444","0.11222222222222222","0.12732407446405417"
"health-xgboost-80/20-vertical50-s22","finished","health","xgboost","80/20","50","vertical","22","0.7957777777777778","0.1711111111111111","0.1896162973706129"
"health-xgboost-80/20-vertical50-s11","finished","health","xgboost","80/20","50","vertical","11","0.788","0.10888888888888888","0.11641710001743984"
"health-xgboost-80/20-horizontal50-s55","finished","health","xgboost","80/20","50","horizontal","55","0.7946666666666666","0.1288888888888889","0.15542015733589645"
