dataset,classifier,imbalance,min_level,min_type,seed,run_id
adult,logistic_regression,90/10,25,horizontal,44,113
adult,logistic_regression,90/10,25,horizontal,55,114
adult,logistic_regression,90/10,25,vertical,11,115
adult,logistic_regression,90/10,25,vertical,22,116
adult,logistic_regression,90/10,25,vertical,33,117
adult,logistic_regression,90/10,25,vertical,44,118
adult,logistic_regression,90/10,25,vertical,55,119
adult,logistic_regression,95/5,100,horizontal,11,120
adult,logistic_regression,95/5,100,horizontal,22,121
adult,logistic_regression,95/5,100,horizontal,33,122
adult,logistic_regression,95/5,100,horizontal,44,123
adult,logistic_regression,95/5,100,horizontal,55,124
adult,logistic_regression,95/5,100,vertical,11,125
adult,logistic_regression,95/5,100,vertical,22,126
adult,logistic_regression,95/5,100,vertical,33,127
adult,logistic_regression,95/5,100,vertical,44,128
adult,logistic_regression,95/5,100,vertical,55,129
adult,logistic_regression,95/5,75,horizontal,11,130
adult,logistic_regression,95/5,75,horizontal,22,131
adult,logistic_regression,95/5,75,horizontal,33,132
adult,logistic_regression,95/5,75,horizontal,44,133
adult,logistic_regression,95/5,75,horizontal,55,134
adult,logistic_regression,95/5,75,vertical,11,135
adult,logistic_regression,95/5,75,vertical,22,136
adult,logistic_regression,95/5,75,vertical,33,137
adult,logistic_regression,95/5,75,vertical,44,138
adult,logistic_regression,95/5,75,vertical,55,139
adult,logistic_regression,95/5,50,horizontal,11,140
adult,logistic_regression,95/5,50,horizontal,22,141
adult,logistic_regression,95/5,50,horizontal,33,142
adult,logistic_regression,95/5,50,horizontal,44,143
adult,logistic_regression,95/5,50,horizontal,55,144
adult,logistic_regression,95/5,50,vertical,11,145
adult,logistic_regression,95/5,50,vertical,22,146
adult,logistic_regression,95/5,50,vertical,33,147
adult,logistic_regression,95/5,50,vertical,44,148
adult,logistic_regression,95/5,50,vertical,55,149
adult,logistic_regression,95/5,25,horizontal,11,150
adult,logistic_regression,95/5,25,horizontal,22,151
adult,logistic_regression,95/5,25,horizontal,33,152
adult,logistic_regression,95/5,25,horizontal,44,153
adult,logistic_regression,95/5,25,horizontal,55,154
adult,logistic_regression,95/5,25,vertical,11,155
adult,logistic_regression,95/5,25,vertical,22,156
adult,logistic_regression,95/5,25,vertical,33,157
adult,logistic_regression,95/5,25,vertical,44,158
adult,logistic_regression,95/5,25,vertical,55,159
adult,random_forest,50/50,100,horizontal,11,160
adult,random_forest,50/50,100,horizontal,22,161
adult,random_forest,50/50,100,horizontal,33,162
adult,random_forest,50/50,100,horizontal,44,163
adult,random_forest,50/50,100,horizontal,55,164
adult,random_forest,50/50,100,vertical,11,165
adult,random_forest,50/50,100,vertical,22,166
adult,random_forest,50/50,100,vertical,33,167
adult,random_forest,50/50,100,vertical,44,168
adult,random_forest,50/50,100,vertical,55,169
adult,random_forest,50/50,75,horizontal,11,170
adult,random_forest,50/50,75,horizontal,22,171
adult,random_forest,50/50,75,horizontal,33,172
adult,random_forest,50/50,75,horizontal,44,173
adult,random_forest,50/50,75,horizontal,55,174
adult,random_forest,50/50,75,vertical,11,175
adult,random_forest,50/50,75,vertical,22,176
adult,random_forest,50/50,75,vertical,33,177
adult,random_forest,50/50,75,vertical,44,178
adult,random_forest,50/50,75,vertical,55,179
adult,random_forest,50/50,50,horizontal,11,180
adult,random_forest,50/50,50,horizontal,22,181
adult,random_forest,50/50,50,horizontal,33,182
adult,random_forest,50/50,50,horizontal,44,183
adult,random_forest,50/50,50,horizontal,55,184
adult,random_forest,50/50,50,vertical,11,185
adult,random_forest,50/50,50,vertical,22,186
adult,random_forest,50/50,50,vertical,33,187
adult,random_forest,50/50,50,vertical,44,188
adult,random_forest,50/50,50,vertical,55,189
adult,random_forest,50/50,25,horizontal,11,190
adult,random_forest,50/50,25,horizontal,22,191
adult,random_forest,50/50,25,horizontal,33,192
adult,random_forest,50/50,25,horizontal,44,193
adult,random_forest,50/50,25,horizontal,55,194
adult,random_forest,50/50,25,vertical,11,195
